name	Ref_value
HOXD10	0
HOXD11	0
HOXD13	1.268628408
HOXD8	0.306778137
HOXD9	0.189384247
HSF1	21.65916794
HSF2	20.43132822
HSF4	0
IKZF1	1.376095728
INSM1	0.011999856
IRF1	2.405853309
IRF2	5.256150747
IRF3	83.81834496
IRF4	0.419181055
IRF5	0.205097921
IRF6	8.678095756
IRF7	4.07210871
IRF8	0.736587862
ISL2	0.256161092
JDP2	12.12105153
JUN	11.63773069
JUNB	1.755073181
JUND	7.178630972
KLF10	5.247008815
KLF11	4.087707457
KLF13	12.4951916
KLF14	0
KLF15	4.477017904
KLF16	4.294409134
KLF2	0.175278509
KLF3	8.157883301
KLF4	0.805829371
KLF5	5.543928294
KLF6	11.52604241
LBX1	0
LBX2	0.35587083
LEF1	34.49224532
LHX2	1.615697909
LHX6	0.192345188
LHX9	0.174787456
LMX1A	2.489718774
LMX1B	0.631872525
MAF	5.631972927
MAFA	0.212852368
MAFF	2.196069495
MAFG	0
MAFK	2.238529848
MAX	25.12014638
MAZ	0
MEF2A	8.648653513
MEF2B	0
MEF2C	1.507739537
MEF2D	0.754375448
MEIS1	65.17141724
MEIS2	44.21466306
MEIS3	17.68728614
MEOX2	0
MGA	41.94224015
MITF	0.777660731
MIXL1	7.944526298
MLX	8.010003422
MLXIPL	0.490596776
MNT	1.366347817
MNX1	0.150402008
MSANTD3	0
MSC	0.109958104
MSX1	19.48526893
MSX2	51.18144153
MTF1	5.266180751
MXI1	33.01689434
MYB	0.672968379
MYBL1	2.278712554
MYBL2	13.48460976
MYC	7.992868831
MYCN	10.72092559
MYF6	0.873278018
MYOD1	0
MZF1	4.961268613
NEUROD1	0
NEUROD2	0.006846544
NEUROG1	0
NEUROG2	0
NFATC2	0.183909536
NFATC3	0
NFATC4	43.00886845
NFE2	8.196195829
NFE2L1	43.65778885
NFE2L2	20.68845156
NFIA	0.112696504
NFIB	1.361980586
NFIC	0.350246714
NFIL3	9.31055023
NFIX	0.04008763
NFKB1	5.208038069
NFKB2	5.985979848
NFYA	32.46733367
NFYB	39.45981403
NFYC	4.069110157
NHLH2	0.503945041
NKX2-3	2.461655657
NKX2-5	1.207633443
NKX2-8	0
NKX3-1	0.910997103
NKX3-2	0
NKX6-1	0.115042063
NOTO	0.024728767
NR1D1	0.207500943
NR1D2	21.98044152
NR1H2	10.08609944
NR2C1	76.14068992
NR2C2	6.850576688
NR2F2	8.161122157
NR2F6	0
NR3C1	4.567883476
NR3C2	0.621905208
NR4A1	1.425733802
NR4A2	0.362184509
NR5A1	0.178157956
NR6A1	39.50682967
NRF1	10.12900905
NRL	0.439125092
OLIG1	0
OLIG2	0.013258412
ONECUT1	1.01561632
ONECUT2	0.30374824
OSR1	0.787806707
OSR2	0
OTX1	2.896592177
OTX2	72.38570697
OVOL1	0.896757631
OVOL2	0
PAX1	0
PAX4	0.057258266
PAX5	0.116080586
PAX6	18.0091866
PAX7	0.416075932
PAX9	0.127082247
PBX1	0.889020946
PBX2	12.37984655
PBX3	5.890558982
PDX1	0
PHOX2A	3.100587843
PITX1	6.00115023
PITX2	40.74313221
PITX3	0
PKNOX1	14.85725767
PKNOX2	2.216735484
PLAG1	10.40349684
PLAGL2	2.25606146
POU2F1	16.61470253
POU2F2	0.514910134
POU2F3	1.983882659
POU3F1	0.442734849
POU3F2	0.330300587
POU3F3	0.030593499
POU3F4	0
POU4F1	0.468410615
POU4F2	0
POU4F3	0
POU5F1	118.9516747
POU6F1	2.221646007
POU6F2	0.518503175
PPARA	2.909965517
PPARD	1.02873264
PPARG	6.17215136
PRDM1	4.694292877
PRDM4	11.93967562
PROX1	1.236960758
PRRX2	3.93127073
RARA	2.25344948
RARB	12.31089027
RARG	18.46502941
RAX	1.840202844
RAX2	0.021373522
RBPJ	36.61526295
REL	2.437489615
RELA	8.017912498
RELB	1.639801264
REST	34.09062722
RFX1	2.467600525
RFX2	2.943680959
RFX3	13.33593584
RFX4	0.01981302
RFX5	40.771864
RFX7	9.20469189
RORA	8.039978508
RORB	0.544597903
RORC	0
RREB1	28.77765023
RUNX1	0.496451792
RUNX2	1.069752224
RUNX3	0.071047746
RXRB	4.043230655
RXRG	0.712800034
SCRT1	0
SCRT2	0
SHOX	0
SIX1	7.535197634
SMAD2	92.29484808
SMAD3	7.102988021
SMAD5	57.81837912
SNAI1	3.197544553
SNAI2	29.47055638
SNAI3	0.773369769
SOX10	0.490535134
SOX12	2.118065314
SOX13	12.41474261
SOX14	0
SOX15	5.086915316
SOX18	0
SOX2	56.40790973
SOX21	7.675095301
SOX4	70.4166917
SOX8	0.972584466
SOX9	5.725878845
SP1	27.07390769
SP2	0.268778002
SP3	72.02201483
SP4	12.11676789
SP8	2.656530287
SP9	0.164316549
SPI1	0.032858817
SPIB	0
SREBF1	15.36983269
SREBF2	26.41892749
SRF	8.661744759
SRY	0
STAT1	20.47322438
STAT2	26.02107065
STAT3	17.48647709
TAL1	1.062355096
TBX1	0.111105286
TBX18	0.147156883
TBX19	0
TBX20	3.395052059
TBX21	0.030796189
TBX3	44.26648475
TBX4	7.241349844
TBX6	2.229837177
TCF12	42.99173386
TCF21	0.369921195
TCF3	90.61712086
TCF4	87.65607545
TCF7	4.605590025
TCF7L1	1.689052765
TCF7L2	6.25583921
TCFL5	15.08209694
TEAD1	19.90924559
TEAD2	60.98880087
TEAD3	9.841294189
TEAD4	7.9060675
TEF	2.694884607
TFAP2A	14.21188957
TFAP2B	1.266883605
TFAP2C	12.26826275
TFAP2E	0.490414983
TFAP4	10.66931286
TFCP2	10.18195911
TFDP1	18.96955953
TFE3	7.30204182
TFEB	0.7349653
TGIF1	121.9282875
TGIF2	0
THAP1	8.457205801
THAP11	28.67442477
THRB	1.712424766
TLX1	0.684029593
TLX2	0.216366004
TP53	15.30693621
TP73	0.961918183
TWIST1	4.847689259
USF1	60.59543663
USF2	60.29380514
VAX2	0
VDR	0.04536289
VENTX	1.408035024
VEZF1	25.19161017
VSX1	0.023411807
VSX2	0.195170306
XBP1	42.10480981
YY1	68.74283022
ZBED1	0
ZBTB12	6.228235802
ZBTB14	13.60214887
ZBTB18	6.782059219
ZBTB26	5.125865167
ZBTB33	14.38354891
ZBTB6	7.271147316
ZBTB7A	0.997198724
ZBTB7C	0.257159913
ZEB1	2.452346559
ZFP42	15.95408046
ZIC1	1.043200922
ZIC3	16.27639883
ZIC4	0.155812986
ZIC5	7.729528972
ZKSCAN1	31.24252385
ZKSCAN5	12.38705561
ZNF135	3.191139977
ZNF136	3.370614371
ZNF140	11.54463971
ZNF143	43.07792921
ZNF148	0
ZNF16	3.044367578
ZNF24	31.98307252
ZNF263	17.66565894
ZNF274	17.06908263
ZNF282	0
ZNF317	6.520923872
ZNF341	0.711473148
ZNF354C	2.307674192
ZNF382	5.373240602
ZNF384	13.84454065
ZNF410	0
ZNF449	7.979464147
ZNF460	27.87902451
ZNF528	0.512027553
ZNF652	10.6575067
ZNF682	5.55002988
ZNF684	0
ZNF740	18.89203596
ZNF75D	5.759270402
ZSCAN29	12.79233048
