name	Ref_value
HES7	0.09105051
HESX1	16.4138846
HEY1	0.387599805
HEY2	2.332281718
HIC2	6.529896457
HIF1A	0
HINFP	18.96985923
HLF	0.438568309
HMBOX1	13.54608566
HNF1B	0.018270497
HNF4G	1.204900074
HOXA1	0
HOXA13	0
HOXA4	0
HOXA5	0.034973996
HOXA7	0
HOXB13	0
HOXB3	0
HOXB4	0
HOXB7	0
HOXC10	0
HOXC13	0
HOXD10	0
HOXD11	0
HOXD13	0
HOXD8	0
HOXD9	0
HSF1	24.91147998
HSF2	13.778258
HSF4	0
IKZF1	0.289337948
INSM1	0.069636277
IRF1	3.068362148
IRF2	5.534575143
IRF3	119.4637224
IRF4	0.551222226
IRF5	0.302433474
IRF6	5.156797256
IRF7	4.207954176
IRF8	0.289868596
ISL2	0.268603272
JDP2	5.970483645
JUN	1.889381786
JUNB	0.742188904
JUND	4.627253931
KLF10	6.621715039
KLF11	4.515598946
KLF13	11.6778751
KLF14	0
KLF15	3.07892041
KLF16	4.284367544
KLF2	0.022440847
KLF3	5.950822302
KLF4	2.18015522
KLF5	0.801822842
KLF6	2.085579454
LBX1	0
LBX2	0.375648728
LEF1	0.910936185
LHX2	0
LHX6	0.830709808
LHX9	0.022046416
LMX1A	0.048482772
LMX1B	0.014534186
MAF	2.489703759
MAFA	0.191478726
MAFF	1.166004094
MAFG	0
MAFK	2.584585879
MAX	19.39733206
MAZ	0
MEF2A	14.13844244
MEF2B	0
MEF2C	0.492901233
MEF2D	1.653423784
MEIS1	0.267829729
MEIS2	4.206214525
MEIS3	11.82492488
MEOX2	0
MGA	34.62168898
MITF	0.325996451
MIXL1	0.099218556
MLX	8.110703471
MLXIPL	0.379200243
MNT	1.528573707
MNX1	0
MSANTD3	0
MSC	0.583333565
MSX1	0.109259737
MSX2	1.926275526
MTF1	5.566173339
MXI1	5.473041812
MYB	3.212731333
MYBL1	1.980336014
MYBL2	19.57611134
MYC	12.41881343
MYCN	24.04526487
MYF6	0
MYOD1	0
MZF1	4.174047385
NEUROD1	0
NEUROD2	0.061959381
NEUROG1	0
NEUROG2	0
NFATC2	0.108817165
NFATC3	0
NFATC4	32.17359462
NFE2	2.567911484
NFE2L1	74.55533243
NFE2L2	19.75740708
NFIA	0.484050894
NFIB	7.091158332
NFIC	0.386609626
NFIL3	3.44119461
NFIX	0.017228785
NFKB1	4.583543822
NFKB2	4.420629296
NFYA	22.75485929
NFYB	55.27649361
NFYC	2.251021397
NHLH2	0.083197242
NKX2-3	0
NKX2-5	0
NKX2-8	0
NKX3-1	0.341664255
NKX3-2	0.058519795
NKX6-1	0.11735207
NOTO	0.167347901
NR1D1	0.406981054
NR1D2	15.78761009
NR1H2	18.5170028
NR2C1	56.68407948
NR2C2	8.867101716
NR2F2	0.008183944
NR2F6	0
NR3C1	10.14665362
NR3C2	0.41292541
NR4A1	2.16080023
NR4A2	0.55732523
NR5A1	0.294711173
NR6A1	58.69146215
NRF1	9.97847638
NRL	0.754742841
OLIG1	0
OLIG2	0
ONECUT1	5.051367816
ONECUT2	0.251243958
OSR1	0
OSR2	0
OTX1	1.123409987
OTX2	149.3397737
OVOL1	1.635797505
OVOL2	0
PAX1	0
PAX4	0.11232021
PAX5	0.028002151
PAX6	0.653260988
PAX7	0.140697317
PAX9	0.380415811
PBX1	41.26595384
PBX2	10.16452061
PBX3	26.48274626
PDX1	0
PHOX2A	0.405090414
PITX1	0
PITX2	1.128541412
PITX3	0.041611368
PKNOX1	17.75647972
PKNOX2	0.915672632
PLAG1	9.019786216
PLAGL2	3.196921293
POU2F1	23.02948351
POU2F2	0.421944244
POU2F3	1.103464173
POU3F1	0.979130521
POU3F2	0.049616281
POU3F3	0
POU3F4	0
POU4F1	0.17640503
POU4F2	0
POU4F3	0
POU5F1	371.8083656
POU6F1	5.2706186
POU6F2	0.982886636
PPARA	1.898211338
PPARD	1.310285749
PPARG	0.206107116
PRDM1	1.055356794
PRDM4	11.32152009
PROX1	0.331198993
PRRX2	3.914095323
RARA	3.552379124
RARB	1.079691125
RARG	22.57257883
RAX	0.033559845
RAX2	0.068060962
RBPJ	58.14779373
REL	2.130558743
RELA	10.06184835
RELB	2.055874085
REST	26.18777141
RFX1	1.447061738
RFX2	1.517446503
RFX3	10.81419835
RFX4	0.063451542
RFX5	38.87923964
RFX7	10.72337542
RORA	8.929466578
RORB	1.142217917
RORC	0
RREB1	7.565317283
RUNX1	0.309313303
RUNX2	1.037855244
RUNX3	0.055345642
RXRB	4.283645424
RXRG	0
SCRT1	0.034074519
SCRT2	0
SHOX	0
SIX1	0.4703164
SMAD2	87.53739903
SMAD3	4.523782966
SMAD5	55.61468622
SNAI1	0.947537794
SNAI2	0.116963657
SNAI3	0.955203202
SOX10	0.546583156
SOX12	3.431621057
SOX13	13.3019874
SOX14	0.067043102
SOX15	0.647781633
SOX18	0
SOX2	124.2603462
SOX21	15.33092424
SOX4	53.36791001
SOX8	1.341577592
SOX9	0.68432963
SP1	20.73380011
SP2	0.561617464
SP3	62.64681675
SP4	17.79827512
SP8	0.621393637
SP9	0
SPI1	0.287169401
SPIB	0
SREBF1	9.831109305
SREBF2	26.24291508
SRF	13.60407404
SRY	0
STAT1	25.54596039
STAT2	12.62188217
STAT3	29.19791541
TAL1	0.063474081
TBX1	0.027017333
TBX18	0.006711892
TBX19	0
TBX20	0.013911522
TBX21	0
TBX3	0.06986648
TBX4	0.017943684
TBX6	0.436092315
TCF12	33.05534624
TCF21	0.047004834
TCF3	87.48816362
TCF4	49.90906723
TCF7	4.104308152
TCF7L1	2.199564915
TCF7L2	18.23439151
TCFL5	12.38500511
TEAD1	9.626005498
TEAD2	69.30322635
TEAD3	5.873632109
TEAD4	15.27523352
TEF	3.864312846
TFAP2A	2.635342123
TFAP2B	0
TFAP2C	6.300010823
TFAP2E	0.194587122
TFAP4	16.05348134
TFCP2	12.04254543
TFDP1	35.45081341
TFE3	15.29853828
TFEB	0.282323542
TGIF1	154.0204207
TGIF2	0
THAP1	11.33946367
THAP11	27.51318884
THRB	2.295497391
TLX1	0
TLX2	0.14196212
TP53	28.73488366
TP73	0.604719243
TWIST1	0.14628499
USF1	57.10422171
USF2	38.11401184
VAX2	0
VDR	0.14885289
VENTX	0.963301881
VEZF1	21.18753184
VSX1	0
VSX2	0.087139249
XBP1	45.4226266
YY1	68.03787612
ZBED1	0
ZBTB12	3.93387702
ZBTB14	16.02612834
ZBTB18	5.473129342
ZBTB26	5.500974706
ZBTB33	11.26462583
ZBTB6	7.507011607
ZBTB7A	1.798941795
ZBTB7C	0.40872727
ZEB1	1.582382548
ZFP42	4.911451701
ZIC1	0.238529185
ZIC3	65.48036973
ZIC4	0.141731261
ZIC5	13.41774534
ZKSCAN1	22.57279766
ZKSCAN5	13.47639019
ZNF135	1.30048243
ZNF136	2.267411321
ZNF140	9.304574811
ZNF143	54.48227162
ZNF148	0
ZNF16	2.900228669
ZNF24	29.95362436
ZNF263	22.239638
ZNF274	13.54542919
ZNF282	0
ZNF317	14.3689736
ZNF341	0.611500601
ZNF354C	0.20261906
ZNF382	4.396339824
ZNF384	17.55833452
ZNF410	0
ZNF449	7.615581173
ZNF460	41.93730611
ZNF528	0
ZNF652	13.64357179
ZNF682	0.60138874
ZNF684	0
ZNF740	9.696083908
ZNF75D	8.558975534
ZSCAN29	13.87968296
