hg19.kgXref.geneSymbol	hg19.knownGene.chrom	hg19.knownGene.chrom.num	hg19.knownGene.strand	hg19.knownGene.dir	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownGene.cdsStart	hg19.knownGene.cdsEnd	hg19.knownGene.exonCount	hg19.knownGene.exonStarts	hg19.knownGene.exonEnds	hg19.knownGene.proteinID	hg19.knownGene.alignID
ARNT	chr1	1	-	0	150782180	150789924	150784496	150789881	7	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,"	"150784586,150785814,150786712,150788882,150789366,150789678,150789924,"	NP_001184254	uc010pck.2
ARNT	chr1	1	-	0	150795669	150849244	150795671	150830924	13	"150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150818738,150825237,150830824,150849018,"	"150795821,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150818783,150825316,150830936,150849244,"	B4E3L5	uc010pcl.2
ARNT	chr1	1	-	0	150782180	150849244	150784496	150830934	23	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,150790395,150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150814899,150818738,150825237,150830824,150833722,150849018,"	"150784586,150785814,150786715,150788882,150789366,150789678,150789909,150790506,150795821,150799093,150801703,150802441,150804379,150804875,150807116,150808969,150812130,150814944,150818783,150825282,150830936,150833778,150849244,"	P27540-3	uc009wmb.2
ARNT	chr1	1	-	0	150790395	150849244	150790497	150849043	14	"150790395,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150814899,150818738,150825237,150830824,150849018,"	"150790506,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150814944,150818783,150825282,150830936,150849244,"	A6NGV6	uc009wme.2
ARNT	chr1	1	-	0	150782180	150849244	150784496	150849043	21	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,150790395,150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150818738,150825237,150830824,150849018,"	"150784586,150785814,150786712,150788882,150789366,150789678,150789909,150790506,150795821,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150818783,150825282,150830936,150849244,"	NP_001184254	uc009wmd.2
ARNT	chr1	1	-	0	150782180	150849244	150784496	150849043	22	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,150790395,150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150814899,150818738,150825237,150830824,150849018,"	"150784586,150785814,150786715,150788882,150789366,150789678,150789909,150790506,150795821,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150814944,150818783,150825282,150830936,150849244,"	P27540	uc001evr.2
ARNT	chr1	1	-	0	150782180	150849244	150784496	150849043	21	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,150790395,150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150818738,150825237,150830824,150849018,"	"150784586,150785814,150786715,150788882,150789366,150789678,150789909,150790506,150795821,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150818783,150825282,150830936,150849244,"	P27540-2	uc001evs.2
ARNT2	chr15	15	+	1	80735304	80890277	80743222	80886039	19	"80735304,80743220,80750269,80762558,80767350,80800496,80806251,80806660,80843539,80844980,80847405,80855428,80866488,80867327,80869206,80872751,80873579,80883908,80885940,"	"80735366,80743335,80750317,80762772,80767564,80800599,80806317,80806746,80843616,80845115,80847480,80855580,80866561,80867451,80869306,80872890,80873745,80884045,80890277,"	Q9HBZ2	uc002bfs.3
ARNT2	chr15	15	+	1	80733579	80890277	80743222	80886039	19	"80733579,80743220,80750269,80762558,80767350,80800496,80806251,80806660,80843539,80844980,80847405,80855428,80866488,80867327,80869206,80872751,80873579,80883908,80885940,"	"80733719,80743335,80750317,80762772,80767564,80800599,80806317,80806746,80843616,80845115,80847480,80855580,80866561,80867451,80869306,80872890,80873745,80884045,80890277,"	Q9HBZ2	uc010unm.2
ARNT2	chr15	15	+	1	80696691	80767902	80696857	80767596	5	"80696691,80743220,80750269,80762558,80767350,"	"80696888,80743335,80750317,80762772,80767902,"	Q86TN1	uc002bfq.3
ARNT2	chr15	15	+	1	80696691	80890277	80696857	80886039	19	"80696691,80743220,80750269,80762558,80767350,80800496,80806251,80806660,80843539,80844980,80847405,80855428,80866488,80867327,80869206,80872751,80873579,80883908,80885940,"	"80696888,80743335,80750317,80762772,80767564,80800599,80806317,80806746,80843616,80845115,80847480,80855580,80866561,80867451,80869306,80872890,80873745,80884045,80890277,"	Q9HBZ2	uc002bfr.3
ASCL1	chr12	12	+	1	103352022	103352733	103352022	103352733	1	"103352022,"	"103352733,"	P50553	uc021rcu.1
ASCL1	chr12	12	+	1	103351451	103354294	103352022	103352733	2	"103351451,103353139,"	"103352780,103354294,"	P50553	uc001tjr.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	175994890	14	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986241,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176015886,176032934,"	P15336	uc010fqv.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	176001171	6	"175936977,175945387,175994865,176001139,176015787,176032777,"	"175939563,175945493,175994935,176001214,176015886,176032934,"	Q96JT8	uc002ujk.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	175994890	14	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175994865,176001139,176012673,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175994935,176001214,176012708,176015886,176032934,"	Q3B7B7	uc002ujs.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	176001171	15	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176001139,176012673,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176012708,176015886,176032934,"	P15336	uc002ujq.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	175994913	14	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176012673,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176012708,176015886,176032934,"	NP_001243020	uc010fqu.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	175994890	13	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175994935,176001214,176015886,176032934,"	Q3B7B7	uc002ujm.4
ATF2	chr2	2	-	0	175936977	176032934	175939587	175994890	13	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175994865,176001139,176015787,176032777,"	"175939595,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175994935,176001214,176015886,176032934,"	NP_001243022	uc002ujw.2
ATF2	chr2	2	-	0	175978970	176032934	175979413	176001171	8	"175978970,175982717,175982978,175986171,175994865,176001139,176015787,176032777,"	"175979596,175982846,175983097,175986268,175994935,176001214,176015886,176032934,"	Q8TAR1	uc002ujy.2
ATF2	chr2	2	-	0	175936977	176032934	175939336	176001171	14	"175936977,175945387,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176015886,176032934,"	P15336	uc002ujl.4
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	17	"175936977,175939727,175945387,175957270,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176001139,176012673,176015787,176032777,"	"175939563,175939815,175945493,175957344,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176012708,176015886,176032934,"		uc002ujp.4
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	17	"175936977,175939727,175945387,175957270,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176001139,176012673,176015787,176032777,"	"175939595,175939815,175945493,175957344,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176012708,176015886,176032934,"		uc002ujx.2
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	16	"175936977,175939727,175945387,175957270,175957788,175962171,175976295,175979417,175982717,175982978,175986171,175994865,176001139,176012673,176015787,176032777,"	"175939563,175939815,175945493,175957344,175957995,175962321,175976382,175979596,175982846,175983097,175986268,175994935,176001214,176012708,176015886,176032934,"		uc002ujr.4
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	15	"175936977,175945387,175957270,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175986171,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957344,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175986268,175994935,176001214,176015886,176032934,"		uc002ujt.4
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	15	"175936977,175945387,175957270,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175994865,176001139,176012673,176015787,176032777,"	"175939563,175945493,175957344,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175994935,176001214,176012708,176015886,176032934,"		uc002uju.4
ATF2	chr2	2	-	0	175936977	176032934	175936977	175936977	14	"175936977,175945387,175957270,175957788,175962171,175976295,175978721,175979417,175982717,175982978,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957344,175957995,175962321,175976382,175978836,175979596,175982846,175983097,175994935,176001214,176015886,176032934,"		uc002ujn.4
ATF2	chr2	2	-	0	175936977	176032934	175939336	175976364	13	"175936977,175945387,175957788,175962171,175976295,175979417,175982717,175982978,175986171,175994865,176001139,176015787,176032777,"	"175939563,175945493,175957995,175962321,175976382,175979596,175982846,175983097,175986268,175994935,176001214,176015886,176032934,"	P15336-2	uc002ujv.4
ATF3	chr1	1	+	1	212781969	212792589	212788363	212791591	3	"212781969,212788359,212791468,"	"212782272,212788603,212792589,"	Q7Z567	uc001hjj.3
ATF3	chr1	1	+	1	212738675	212794119	212788363	212792897	4	"212738675,212788359,212791468,212792699,"	"212738825,212788603,212791576,212794119,"	P18847	uc001hjf.3
ATF3	chr1	1	+	1	212781969	212794119	212788363	212792447	4	"212781969,212788359,212791468,212792387,"	"212782272,212788603,212791576,212794119,"	P18847-3	uc001hji.3
ATF3	chr1	1	+	1	212781969	212794119	212788534	212792897	5	"212781969,212784181,212788407,212791468,212792699,"	"212782272,212784189,212788603,212791576,212794119,"	NP_001193417	uc021pit.1
ATF3	chr1	1	+	1	212788359	212794119	212788363	212792447	4	"212788359,212788489,212791468,212792387,"	"212788402,212788603,212791576,212794119,"	P18847-4	uc021piv.1
ATF3	chr1	1	+	1	212781969	212794119	212788534	212792897	4	"212781969,212788382,212791468,212792699,"	"212782272,212788603,212791576,212794119,"	NP_001193417	uc021piu.1
ATF3	chr1	1	+	1	212781969	212794119	212788363	212792897	4	"212781969,212788359,212791468,212792699,"	"212782272,212788603,212791576,212794119,"	P18847	uc001hjh.3
ATF4	chr22	22	+	1	39916568	39918685	39917815	39918607	2	"39916568,39917358,"	"39916756,39918685,"	P18848	uc011aol.1
ATF4	chr22	22	+	1	39916568	39918691	39917450	39918607	2	"39916568,39917777,"	"39917676,39918691,"	P18848	uc003aya.3
ATF4	chr22	22	+	1	39916568	39918691	39917450	39918607	3	"39916568,39917358,39917777,"	"39916756,39917676,39918691,"	P18848	uc003axz.3
ATF6	chr1	1	+	1	161736033	161835745	161736150	161833117	14	"161736033,161748033,161751701,161753779,161761197,161761913,161771841,161789422,161790859,161816238,161821511,161823013,161829996,161832987,"	"161736232,161748110,161751789,161753886,161761327,161762117,161772062,161789608,161790951,161816370,161821625,161823113,161830067,161835745,"	P18850	uc001gbq.2
ATF6	chr1	1	+	1	161736033	161933860	161736150	161928444	16	"161736033,161748033,161751701,161753779,161761197,161761913,161771841,161789422,161790859,161816238,161821511,161823013,161829996,161832987,161882085,161928235,"	"161736232,161748110,161751789,161753886,161761327,161762117,161772062,161789608,161790951,161816370,161821625,161823113,161830067,161833102,161882170,161933860,"	P18850	uc001gbs.3
ATF7	chr12	12	-	0	53905842	54020199	53910920	53994784	12	"53905842,53917059,53918347,53925527,53926293,53926943,53928285,53931261,53937113,53946324,53994736,54020062,"	"53911138,53917168,53918545,53925680,53926407,53927043,53928443,53931336,53937232,53946421,53994805,54020199,"	P17544-2	uc010sol.2
ATF7	chr12	12	-	0	53936668	54020199	53937023	53994784	4	"53936668,53946324,53994736,54020062,"	"53937232,53946421,53994805,54020199,"	P17544-5	uc001seb.4
ATF7	chr12	12	-	0	53936668	54019780	53937023	53994784	4	"53936668,53946324,53994736,54019734,"	"53937232,53946421,53994805,54019780,"	P17544-5	uc001sea.4
ATF7	chr12	12	-	0	53905842	54020199	53910920	53994784	12	"53905842,53917059,53918347,53925527,53926293,53926943,53928285,53931198,53937113,53946324,53994736,54020062,"	"53911138,53917168,53918545,53925680,53926407,53927043,53928443,53931336,53937232,53946421,53994805,54020199,"	P17544-6	uc001sdz.3
ATF7	chr12	12	-	0	53901639	54020199	53901639	53901639	13	"53901639,53910798,53917059,53918347,53925527,53926293,53926943,53928285,53931198,53937080,53946324,53994736,54020062,"	"53901811,53911138,53917168,53918545,53925680,53926407,53927043,53928443,53931336,53937232,53946421,53994805,54020199,"		uc010sok.1
ATOH1	chr4	4	+	1	94750077	94751142	94750077	94751142	1	"94750077,"	"94751142,"	Q92858	uc003hta.1
ATOH7	chr10	10	-	0	69990351	69991870	69990975	69991434	1	"69990351,"	"69991870,"	Q8N100	uc001jnq.3
BACH1	chr21	21	+	1	30671219	30718469	30693601	30715154	5	"30671219,30693541,30698379,30701807,30714719,"	"30671274,30693835,30699714,30702014,30718469,"	O14867	uc002ynj.3
BACH1	chr21	21	+	1	30671736	30718469	30693601	30715154	5	"30671736,30693541,30698379,30701807,30714719,"	"30671919,30693835,30699714,30702014,30718469,"	O14867	uc002ynk.3
BACH1	chr21	21	+	1	30677559	30734217	30677559	30677559	8	"30677559,30693541,30698379,30701807,30723954,30724899,30733351,30733872,"	"30677643,30693835,30699714,30702014,30724134,30724984,30733564,30734217,"		uc002ynl.2
BACH2	chr6	6	-	0	90659874	91006627	90659886	90718563	7	"90659874,90718320,90798679,90806649,90916287,90981567,91006198,"	"90661581,90718575,90798828,90806864,90916400,90981660,91006627,"	Q9BYV9	uc010kch.3
BACH2	chr6	6	-	0	90636246	91006627	90642126	90718563	7	"90636246,90647862,90659988,90718320,90798679,90916287,91006198,"	"90642609,90648069,90661581,90718575,90798828,90916400,91006627,"	Q9BYV9	uc003pnw.3
BACH2	chr6	6	-	0	90636246	91006627	90642126	90718563	9	"90636246,90647862,90659988,90718320,90798679,90916287,90962231,90981567,91006198,"	"90642609,90648069,90661581,90718575,90798828,90916400,90962309,90981660,91006627,"	Q9BYV9	uc011eab.2
BARHL1	chr9	9	+	1	135457992	135465640	135458184	135464909	3	"135457992,135462715,135464614,"	"135458650,135462938,135465640,"	Q9BZE3	uc004cbp.1
BARHL2	chr1	1	-	0	91177578	91182794	91177868	91182752	3	"91177578,91180087,91182127,"	"91178181,91180313,91182794,"	Q9NY43	uc001dns.3
BARX1	chr9	9	-	0	96713908	96715713	96714445	96715230	3	"96713908,96715010,96715177,"	"96714610,96715095,96715713,"	Q9HBU1-2	uc004aud.3
BARX1	chr9	9	-	0	96713908	96717608	96714445	96717428	4	"96713908,96715010,96715177,96717205,"	"96714610,96715095,96715469,96717608,"	Q9HBU1	uc010mrh.3
BARX2	chr11	11	+	1	129245880	129322174	129245930	129321297	4	"129245880,129306645,129312729,129321030,"	"129246117,129306946,129312814,129322174,"	Q9UMQ3	uc001qfc.4
BATF	chr14	14	+	1	75988783	76013334	75989025	76013014	3	"75988783,75991426,76012804,"	"75989088,75991531,76013334,"	Q16520	uc001xrr.3
BATF3	chr1	1	-	0	212859758	212873327	212860132	212873104	3	"212859758,212870302,212873014,"	"212860321,212870407,212873327,"	Q9NR55	uc001hjl.2
BCL6	chr3	3	-	0	187439164	187454285	187440245	187449573	10	"187439164,187442728,187443286,187444518,187446147,187446837,187449496,187451320,187452656,187453877,"	"187440389,187442866,187443417,187444686,187446332,187447809,187449656,187451491,187452695,187454285,"	P41182	uc010hza.2
BCL6	chr3	3	-	0	187439164	187454285	187440245	187451481	10	"187439164,187442728,187443286,187444518,187446147,187446837,187449496,187451320,187452656,187453877,"	"187440389,187442866,187443417,187444686,187446332,187447809,187449718,187451491,187452695,187454285,"	P41182	uc003frp.3
BCL6	chr3	3	-	0	187439164	187452695	187440245	187451481	8	"187439164,187442728,187443286,187446147,187446837,187449496,187451320,187452656,"	"187440389,187442866,187443417,187446332,187447809,187449718,187451491,187452695,"	P41182-2	uc011bsf.1
BCL6	chr3	3	-	0	187439164	187463513	187440245	187451481	10	"187439164,187442728,187443286,187444518,187446147,187446837,187449496,187451320,187452656,187463197,"	"187440389,187442866,187443417,187444686,187446332,187447809,187449718,187451491,187452695,187463513,"	P41182	uc003frq.2
BCL6B	chr17	17	+	1	6926421	6932961	6926990	6930938	9	"6926421,6926978,6927401,6927719,6928394,6929775,6930023,6930268,6930821,"	"6926466,6927169,6927623,6928082,6928519,6929940,6930154,6930406,6932961,"	Q8N143	uc002geg.2
BCL6B	chr17	17	+	1	6926368	6932961	6926990	6930938	9	"6926368,6926978,6927401,6927719,6928394,6929775,6930023,6930268,6930821,"	"6926418,6927169,6927623,6928082,6928519,6929940,6930154,6930406,6932961,"	A8KA13	uc010clt.1
BHLHA15	chr7	7	+	1	97840777	97842271	97841621	97842191	2	"97840777,97841567,"	"97840810,97842271,"	Q7RTS1	uc003upe.1
BHLHA15	chr7	7	+	1	97841621	97842191	97841621	97842191	1	"97841621,"	"97842191,"	Q7RTS1	uc022ahw.1
BHLHA15	chr7	7	+	1	97841567	97842271	97841621	97842191	1	"97841567,"	"97842271,"	Q7RTS1	uc003upf.1
BHLHE22	chr8	8	+	1	65492794	65496191	65493347	65494493	1	"65492794,"	"65496191,"	Q8NFJ8	uc003xvi.3
BHLHE23	chr20	20	-	0	61637330	61638387	61637400	61638078	1	"61637330,"	"61638387,"	Q8NDY6	uc002yeb.2
BHLHE40	chr3	3	+	1	5021096	5026865	5024558	5025377	4	"5021096,5021646,5023076,5024520,"	"5021483,5022093,5023200,5026865,"	O14503	uc011asw.2
BHLHE40	chr3	3	+	1	5021096	5026865	5021403	5025377	5	"5021096,5021646,5021985,5023076,5024520,"	"5021483,5021716,5022093,5023200,5026865,"	O14503	uc003bqf.3
BHLHE41	chr12	12	-	0	26272958	26278003	26274998	26277712	5	"26272958,26276562,26277004,26277451,26277650,"	"26276101,26276674,26277112,26277515,26278003,"	Q9C0J9	uc001rhb.3
BSX	chr11	11	-	0	122848356	122852379	122848356	122852379	3	"122848356,122849968,122852117,"	"122848599,122850165,122852379,"	Q3C1V8	uc010rzs.2
CDX1	chr5	5	+	1	149546343	149564121	149546439	149563243	3	"149546343,149562330,149563036,"	"149546884,149562476,149564121,"	P47902	uc003lrq.3
CDX2	chr13	13	-	0	28536204	28543505	28537251	28543143	3	"28536204,28539006,28542602,"	"28537506,28539152,28543505,"	NP_001256	uc001urv.4
CDX4	chrX	23	+	1	72667089	72674421	72667089	72674421	3	"72667089,72673352,72674214,"	"72667591,72673498,72674421,"	O14627	uc011mqk.2
CEBPA	chr19	19	-	0	33790839	33793430	33792243	33793320	1	"33790839,"	"33793430,"	P49715	uc002nun.3
CEBPB	chr20	20	+	1	48807119	48809227	48807570	48808608	1	"48807119,"	"48809227,"	P17676	uc002xvi.2
CEBPD	chr8	8	-	0	48649475	48650726	48649872	48650682	1	"48649475,"	"48650726,"	P49716	uc003xqh.1
CEBPE	chr14	14	-	0	23586514	23588820	23586695	23588300	2	"23586514,23587790,"	"23587031,23588820,"	Q15744	uc001wiv.2
CEBPG	chr19	19	+	1	33870145	33870598	33870145	33870598	1	"33870145,"	"33870598,"	P53567	uc021use.1
CEBPG	chr19	19	+	1	33865429	33873592	33870145	33870598	2	"33865429,33870049,"	"33865519,33873592,"	P53567	uc021usd.1
CEBPG	chr19	19	+	1	33864574	33873592	33870145	33870598	2	"33864574,33870049,"	"33864801,33873592,"	P53567	uc002nup.3
CENPB	chr20	20	-	0	3764497	3767337	3765330	3767130	1	"3764497,"	"3767337,"	P07199	uc002wjk.3
CLOCK	chr4	4	-	0	56294067	56315663	56294067	56294067	7	"56294067,56304448,56308598,56309853,56310799,56314945,56315562,"	"56301761,56304574,56308801,56310063,56310952,56315035,56315663,"		uc010igu.2
CLOCK	chr4	4	-	0	56294067	56412099	56301581	56348952	24	"56294067,56304448,56308598,56309853,56310799,56314945,56315562,56316257,56319220,56319843,56322063,56322384,56325058,56325314,56329851,56336883,56342129,56344981,56345806,56348905,56352559,56355540,56376078,56411619,"	"56301761,56304704,56308801,56310063,56310952,56315035,56315663,56316399,56319296,56319991,56322170,56322467,56325177,56325428,56329972,56336973,56342221,56345130,56345866,56348995,56352716,56355632,56376232,56412099,"	O15516	uc003haz.2
CLOCK	chr4	4	-	0	56294067	56413076	56301581	56348952	23	"56294067,56304448,56308598,56309853,56310799,56314945,56315562,56316257,56319220,56319843,56322063,56322384,56325058,56325314,56329851,56336883,56342129,56344981,56345806,56348905,56355540,56376078,56412948,"	"56301761,56304704,56308801,56310063,56310952,56315035,56315663,56316399,56319296,56319991,56322170,56322467,56325177,56325428,56329972,56336973,56342221,56345130,56345866,56348995,56355632,56376232,56413076,"	O15516	uc003hba.2
CREB1	chr2	2	+	1	208394615	208441649	208420365	208441371	7	"208394615,208420351,208424949,208432186,208434902,208439995,208441354,"	"208394858,208420473,208425096,208432287,208435045,208440178,208441649,"	F5H0V3	uc010ziz.1
CREB1	chr2	2	+	1	208423845	208441924	208423845	208423845	9	"208423845,208424949,208425842,208432186,208434902,208436457,208439995,208441354,208441833,"	"208423979,208425096,208425884,208432287,208435045,208436582,208440178,208441417,208441924,"		uc010zja.1
CREB1	chr2	2	+	1	208394615	208470284	208420359	208461782	8	"208394615,208420351,208424949,208432186,208434902,208439995,208442228,208461637,"	"208394858,208420473,208425096,208432287,208435045,208440178,208442379,208470284,"	Q53X93	uc002vcd.3
CREB1	chr2	2	+	1	208394615	208470284	208420359	208461782	9	"208394615,208420351,208424949,208425842,208432186,208434902,208439995,208442228,208461637,"	"208394858,208420473,208425096,208425884,208432287,208435045,208440178,208442379,208470284,"	P16220	uc002vcc.3
CREB3	chr9	9	+	1	35732316	35737005	35732769	35736723	9	"35732316,35732992,35733211,35733392,35735105,35735302,35736044,35736223,35736388,"	"35732898,35733140,35733279,35733482,35735212,35735371,35736129,35736308,35737005,"	O43889-2	uc003zxv.3
CREB3	chr9	9	+	1	35732543	35737005	35733177	35736723	8	"35732543,35732992,35733392,35735105,35735302,35736044,35736223,35736388,"	"35732898,35733279,35733482,35735212,35735371,35736129,35736308,35737005,"	O43889	uc010mla.3
CREB3L1	chr11	11	+	1	46337211	46342972	46337903	46342447	4	"46337211,46338911,46341814,46342260,"	"46337936,46339038,46342079,46342972,"		uc001ncg.3
CREB3L1	chr11	11	+	1	46299227	46342296	46299662	46342296	12	"46299227,46321485,46329366,46331539,46332582,46333875,46334162,46334401,46337836,46338911,46341814,46342259,"	"46299764,46321714,46329551,46331618,46332740,46334025,46334221,46334470,46337936,46339038,46342079,46342296,"	Q96BA8	uc021qik.1
CREB3L1	chr11	11	+	1	46299227	46342972	46299662	46342447	12	"46299227,46321485,46329366,46331539,46332582,46333875,46334162,46334401,46337836,46338911,46341814,46342260,"	"46299764,46321714,46329551,46331618,46332740,46334025,46334221,46334470,46337936,46339038,46342079,46342972,"	Q96BA8	uc021qil.1
CREB3L4	chr1	1	+	1	153940674	153942219	153941001	153941840	3	"153940674,153940997,153941405,"	"153940786,153941175,153942219,"	B4E2G3	uc010peg.2
CREB3L4	chr1	1	+	1	153940314	153941641	153941001	153941283	2	"153940314,153940997,"	"153940640,153941641,"		uc031ppj.1
CREB3L4	chr1	1	+	1	153940314	153946840	153941001	153946541	10	"153940314,153940997,153941405,153941809,153945219,153945447,153945670,153945855,153946095,153946347,"	"153940640,153941175,153941652,153941931,153945312,153945554,153945739,153945940,153946192,153946840,"	Q8TEY5	uc001fdn.4
CREB3L4	chr1	1	+	1	153940674	153946840	153941001	153946541	10	"153940674,153940997,153941405,153941809,153945219,153945447,153945670,153945855,153946095,153946347,"	"153940786,153941175,153941652,153941931,153945312,153945554,153945739,153945940,153946192,153946840,"	Q8TEY5	uc001fdr.3
CREB3L4	chr1	1	+	1	153940314	153946840	153941001	153946541	10	"153940314,153940997,153941405,153941809,153945219,153945447,153945670,153945855,153946095,153946347,"	"153940640,153941115,153941652,153941931,153945312,153945554,153945739,153945940,153946192,153946840,"	Q5T4L0	uc001fdo.4
CREB3L4	chr1	1	+	1	153940674	153946840	153941001	153946541	10	"153940674,153940997,153941405,153941809,153945219,153945447,153945670,153945855,153946095,153946347,"	"153940786,153941115,153941652,153941931,153945312,153945554,153945739,153945940,153946192,153946840,"	Q5T4L0	uc001fdq.3
